               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063786,            0.072369,            0.015188,              0.5963,             0.69767,             0.66221,             0.40109,            0.041336,            0.049145,            0.008077,            0.070014,           0.0033318,           0.0033318
                   1,            0.046445,            0.064848,           0.0076935,             0.76378,             0.71997,             0.73929,             0.49899,            0.035061,            0.045111,           0.0066204,             0.03975,           0.0064012,           0.0064012
                   2,            0.042008,            0.062509,           0.0064776,             0.73492,             0.67049,             0.69564,              0.4563,            0.038218,            0.048749,           0.0075925,           0.0092219,           0.0092066,           0.0092066
                   3,            0.038705,            0.060747,            0.005855,              0.7626,             0.68889,             0.73362,             0.50241,            0.032722,            0.044504,           0.0062385,            0.008812,            0.008812,            0.008812
                   4,            0.035598,            0.057683,           0.0052523,             0.80711,              0.7563,             0.80566,             0.57705,            0.030352,            0.040717,           0.0046461,            0.008812,            0.008812,            0.008812
                   5,            0.033706,             0.05623,            0.004915,             0.81862,             0.76219,             0.80933,             0.59088,            0.028441,            0.039437,           0.0042888,            0.008416,            0.008416,            0.008416
                   6,            0.032347,             0.05512,           0.0046369,             0.81751,             0.78123,             0.82591,             0.61253,            0.027472,            0.038159,           0.0039878,             0.00802,             0.00802,             0.00802
                   7,            0.031326,            0.053763,           0.0044434,             0.80643,             0.78713,             0.83416,             0.62696,            0.026588,            0.037391,           0.0038827,            0.007624,            0.007624,            0.007624
                   8,            0.030457,             0.05302,           0.0042928,             0.82088,             0.78374,             0.83705,             0.62582,            0.026541,            0.037295,           0.0037801,            0.007228,            0.007228,            0.007228
                   9,            0.029746,            0.052032,           0.0041548,             0.82046,             0.79676,             0.84692,             0.64943,            0.024853,            0.036139,           0.0036437,            0.006832,            0.006832,            0.006832
                  10,            0.029092,            0.051503,           0.0039954,             0.81563,             0.80262,             0.84547,             0.64754,            0.024959,            0.035857,           0.0034834,            0.006436,            0.006436,            0.006436
                  11,            0.028637,            0.050807,           0.0039438,              0.8191,             0.80394,             0.85097,             0.65352,            0.024615,              0.0357,           0.0034422,             0.00604,             0.00604,             0.00604
                  12,            0.028183,            0.050309,           0.0038576,             0.82224,             0.80797,             0.85264,             0.65571,            0.024507,            0.035428,           0.0033763,            0.005644,            0.005644,            0.005644
                  13,            0.027692,            0.049723,            0.003802,              0.8226,             0.80239,             0.85502,             0.66176,            0.024076,            0.035143,           0.0033263,            0.005248,            0.005248,            0.005248
                  14,             0.02725,            0.049132,           0.0036263,             0.82557,             0.80188,             0.85634,             0.66459,            0.024014,            0.034956,           0.0032974,            0.004852,            0.004852,            0.004852
                  15,            0.026862,            0.048904,           0.0036314,             0.82501,             0.80926,             0.85707,             0.66676,            0.023725,            0.034755,             0.00322,            0.004456,            0.004456,            0.004456
                  16,            0.026491,            0.048146,           0.0034928,             0.82466,             0.80801,             0.85825,             0.66935,            0.023565,            0.034613,           0.0031986,             0.00406,             0.00406,             0.00406
                  17,            0.026132,            0.047917,           0.0034825,             0.83613,             0.80221,             0.85989,             0.67183,            0.023372,            0.034418,           0.0031521,            0.003664,            0.003664,            0.003664
                  18,            0.025677,            0.047047,           0.0033752,             0.83289,             0.80805,              0.8596,               0.673,            0.023307,            0.034387,           0.0031286,            0.003268,            0.003268,            0.003268
                  19,            0.025319,             0.04671,            0.003322,             0.83447,             0.81091,             0.85991,             0.67299,            0.023301,            0.034343,           0.0031017,            0.002872,            0.002872,            0.002872
                  20,            0.024853,            0.045691,           0.0032063,             0.84082,             0.80256,             0.86145,             0.67546,            0.023146,            0.034253,           0.0030775,            0.002476,            0.002476,            0.002476
                  21,            0.024564,            0.045458,           0.0031368,             0.84075,             0.80411,             0.86227,             0.67693,            0.023039,            0.034204,            0.003058,             0.00208,             0.00208,             0.00208
                  22,            0.024145,            0.044737,            0.003089,             0.83316,             0.81245,             0.86182,              0.6769,            0.023025,            0.034113,           0.0030365,            0.001684,            0.001684,            0.001684
                  23,            0.023792,            0.044151,           0.0030172,              0.8358,             0.81059,             0.86148,             0.67761,            0.022989,            0.034108,           0.0030262,            0.001288,            0.001288,            0.001288
                  24,            0.023475,             0.04339,           0.0029015,             0.83827,             0.80802,             0.86132,             0.67725,            0.022981,            0.034107,           0.0030229,            0.000892,            0.000892,            0.000892
